,X,Y
1178,1178,0.81
1179,1179,0.76
1180,1180,0.57
1181,1181,0.8
1182,1182,0.77
1183,1183,1.31
1184,1184,0.85
1185,1185,0.62
1186,1186,0.66
1187,1187,0.66
1188,1188,0.57
1189,1189,0.64
1190,1190,0.73
1191,1191,0.62
1192,1192,0.64
1193,1193,0.62
1194,1194,0.96
1195,1195,0.78
1196,1196,0.8
1197,1197,1.09
1198,1198,0.74
1199,1199,0.68
1200,1200,0.59
1201,1201,0.94
1202,1202,0.69
1203,1203,0.75
1204,1204,0.77
1205,1205,0.53
1206,1206,0.91
1207,1207,0.94
1208,1208,0.7
1209,1209,0.74
1210,1210,0.57
1211,1211,0.8
1212,1212,0.7
1213,1213,0.52
1214,1214,0.86
1215,1215,0.63
1216,1216,0.82
1217,1217,0.71
1218,1218,0.74
1219,1219,0.59
1220,1220,0.55
1221,1221,0.6
1222,1222,0.88
1223,1223,0.76
1224,1224,0.38
1225,1225,0.82
1226,1226,0.68
1227,1227,0.63
1228,1228,-0.23
1229,1229,0.59
1230,1230,1.17
1231,1231,1.12
1232,1232,0.67
1233,1233,0.71
1234,1234,1.27
1235,1235,0.69
1236,1236,1.07
1237,1237,0.94
1238,1238,1.21
1239,1239,0.93
1240,1240,1.12
1241,1241,0.87
1242,1242,0.61
1243,1243,0.8
1244,1244,1.09
1245,1245,0.75
1246,1246,1.37
1247,1247,0.61
1248,1248,0.95
1249,1249,0.7
1250,1250,0.66
1251,1251,0.96
1252,1252,1.07
1253,1253,0.62
1254,1254,0.7
1255,1255,0.75
1256,1256,0.52
1257,1257,0.83
1258,1258,0.91
1259,1259,0.38
1260,1260,0.8
1261,1261,0.56
1262,1262,0.79
1263,1263,0.56
1264,1264,0.59
1265,1265,0.58
1266,1266,0.82
1267,1267,0.55
1268,1268,0.67
1269,1269,0.97
1270,1270,0.79
1271,1271,0.93
1272,1272,0.88
1273,1273,1.03
1274,1274,0.79
1275,1275,0.79
1276,1276,0.83
1277,1277,0.69
1278,1278,0.81
1279,1279,0.89
1280,1280,0.86
1281,1281,0.96
1282,1282,0.94
1283,1283,0.99
1284,1284,0.78
1285,1285,0.83
1286,1286,0.63
1287,1287,1.06
1288,1288,1.21
1289,1289,0.78
1290,1290,0.64
1291,1291,0.95
1292,1292,0.75
1293,1293,0.72
1294,1294,0.77
1295,1295,0.62
1296,1296,0.53
1297,1297,0.61
1298,1298,0.84
1299,1299,0.86
1300,1300,0.68
1301,1301,0.65
1302,1302,0.61
1303,1303,0.7
1304,1304,0.52
1305,1305,0.76
1306,1306,0.81
1307,1307,0.5
1308,1308,0.49
1309,1309,0.66
1310,1310,1.15
1311,1311,0.73
1312,1312,0.57
1313,1313,0.71
1314,1314,0.52
1315,1315,0.97
1316,1316,0.42
1317,1317,0.96
1318,1318,1.22
1319,1319,1.09
1320,1320,0.78
1321,1321,0.66
1322,1322,0.81
1323,1323,1.08
1324,1324,0.93
1325,1325,1.01
1326,1326,1.15
1327,1327,0.66
1328,1328,0.78
1329,1329,0.77
1330,1330,0.76
1331,1331,0.77
1332,1332,0.64
1333,1333,0.78
1334,1334,0.97
1335,1335,0.89
1336,1336,0.49
1337,1337,0.76
1338,1338,0.75
1339,1339,0.58
1340,1340,0.99
1341,1341,0.65
1342,1342,1.21
1343,1343,0.71
1344,1344,0.71
1345,1345,0.94
1346,1346,0.8
1347,1347,0.88
1348,1348,0.64
1349,1349,0.64
1350,1350,0.84
1351,1351,0.65
1352,1352,0.62
1353,1353,0.96
1354,1354,0.59
1355,1355,0.76
1356,1356,0.61
1357,1357,0.95
1358,1358,1.13
1359,1359,0.87
1360,1360,0.87
1361,1361,0.77
1362,1362,0.91
1363,1363,1.01
1364,1364,0.96
1365,1365,0.83
1366,1366,1.27
1367,1367,0.79
1368,1368,0.92
1369,1369,0.89
1370,1370,0.67
1371,1371,0.67
1372,1372,1.07
1373,1373,0.81
1374,1374,1.08
1375,1375,0.74
1376,1376,0.89
1377,1377,0.99
1378,1378,0.95
1379,1379,0.84
1380,1380,0.76
1381,1381,0.5
1382,1382,0.71
1383,1383,0.6
1384,1384,0.71
1385,1385,0.93
1386,1386,0.65
1387,1387,0.61
1388,1388,0.75
1389,1389,1.03
1390,1390,0.92
1391,1391,0.82
1392,1392,0.97
1393,1393,0.69
1394,1394,1.17
1395,1395,0.82
1396,1396,0.79
1397,1397,0.98
1398,1398,1.07
1399,1399,0.77
1400,1400,0.96
1401,1401,0.81
1402,1402,0.91
1403,1403,1.08
1404,1404,0.99
1405,1405,0.4
1406,1406,0.96
1407,1407,0.93
1408,1408,1.01
1409,1409,0.66
1410,1410,0.87
1411,1411,0.59
1412,1412,0.83
1413,1413,0.6
1414,1414,0.58
1415,1415,0.9
1416,1416,0.31
1417,1417,0.86
1418,1418,1.12
1419,1419,0.82
1420,1420,0.84
1421,1421,1.04
1422,1422,0.76
1423,1423,1.0
1424,1424,0.83
1425,1425,0.56
1426,1426,1.08
1427,1427,0.46
1428,1428,0.81
1429,1429,0.83
1430,1430,0.68
1431,1431,0.49
1432,1432,0.88
1433,1433,0.89
1434,1434,0.92
1435,1435,0.4
1436,1436,0.62
1437,1437,0.75
1438,1438,0.92
1439,1439,1.01
1440,1440,0.87
1441,1441,0.52
1442,1442,0.87
1443,1443,0.66
1444,1444,0.98
1445,1445,0.65
1446,1446,0.93
1447,1447,0.83
1448,1448,0.85
1449,1449,1.06
1450,1450,0.71
1451,1451,0.65
1452,1452,1.23
1453,1453,0.58
1454,1454,1.05
1455,1455,0.8
1456,1456,1.23
1457,1457,1.07
1458,1458,0.98
1459,1459,1.08
1460,1460,1.27
1461,1461,0.91
1462,1462,0.63
1463,1463,0.49
1464,1464,0.74
1465,1465,0.82
1466,1466,0.82
1467,1467,1.1
1468,1468,0.74
1469,1469,1.17
1470,1470,0.91
1471,1471,1.28
1472,1472,0.86
1473,1473,0.67
1474,1474,0.65
1475,1475,0.84
1476,1476,0.74
1477,1477,1.07
1478,1478,1.17
1479,1479,0.7
1480,1480,1.01
1481,1481,1.1
1482,1482,0.85
1483,1483,0.85
1484,1484,1.02
1485,1485,1.04
1486,1486,1.16
1487,1487,0.69
1488,1488,1.16
1489,1489,1.1
