,SN,Bad,Bad Critical,Critical Pass Rate,Good,Ignored,Pass Rate
27,FR220013010015,16,2,0.8181818181818182,73,1,0.8202247191011236
28,FR220013010016,15,1,0.9090909090909091,74,1,0.8314606741573034
29,FR220013010017,12,1,0.9090909090909091,77,1,0.8651685393258427
30,FR220013010018,13,2,0.8181818181818182,76,1,0.8539325842696629
31,FR220013010019,22,2,0.8181818181818182,67,1,0.7528089887640449
32,FR220013010020,14,1,0.9090909090909091,75,1,0.8426966292134831
33,FR220013010021,7,1,0.9090909090909091,82,1,0.9213483146067416
34,FR220013010022,9,1,0.9090909090909091,80,1,0.898876404494382
35,FR220013010023,7,1,0.9090909090909091,82,1,0.9213483146067416
36,FR220013010024,7,1,0.9090909090909091,82,1,0.9213483146067416
37,FR220013010025,7,1,0.9090909090909091,82,1,0.9213483146067416
38,FR220013010026,7,1,0.9090909090909091,82,1,0.9213483146067416
39,FR220013010027,7,1,0.9090909090909091,82,1,0.9213483146067416
40,FR220013010028,7,1,0.9090909090909091,82,1,0.9213483146067416
41,FR220013010029,7,1,0.9090909090909091,82,1,0.9213483146067416
42,FR220013010030,7,1,0.9090909090909091,82,1,0.9213483146067416
43,FR220013010031,7,1,0.9090909090909091,82,1,0.9213483146067416
44,FR220013010032,7,1,0.9090909090909091,82,1,0.9213483146067416
45,FR220013010033,9,1,0.9090909090909091,80,1,0.898876404494382
46,FR220013010034,11,1,0.9090909090909091,78,1,0.8764044943820225
47,FR220013010035,7,1,0.9090909090909091,82,1,0.9213483146067416
48,FR220013010036,9,1,0.9090909090909091,80,1,0.898876404494382
49,FR220013010037,9,1,0.9090909090909091,80,1,0.898876404494382
50,FR220013010038,7,1,0.9090909090909091,82,1,0.9213483146067416
51,FR220013010039,7,1,0.9090909090909091,82,1,0.9213483146067416
52,FR220013010040,8,1,0.9090909090909091,81,1,0.9101123595505618
53,FR220013010041,10,2,0.8181818181818182,79,1,0.8876404494382022
54,FR220013010042,9,1,0.9090909090909091,80,1,0.898876404494382
55,FR220013010043,7,1,0.9090909090909091,82,1,0.9213483146067416
56,FR220013010044,7,1,0.9090909090909091,82,1,0.9213483146067416
